CLIENTE;Clase;Estrato;Tipo Conex;Localidad Lec;Tarifa
979385207481;Residencial;4;M;FONTIBON;R_4
979385207498;Residencial;3;M;FONTIBON;R_3
979385207577;Residencial;4;M;FONTIBON;R_4
979385207586;Residencial;3;M;PUENTE ARANDA;R_3
979385207621;Residencial;4;M;FONTIBON;R_4
979385207714;Residencial;3;M;FONTIBON;R_3
979385207834;Residencial;4;M;FONTIBON;R_4
979385207844;Residencial;3;M;PUENTE ARANDA;R_3
979385207855;Residencial;3;M;FONTIBON;R_3
979385207883;Residencial;3;M;FONTIBON;R_3
979385207932;Residencial;3;M;PUENTE ARANDA;R_3
979385207972;Residencial;4;M;FONTIBON;R_4
979385208151;Residencial;3;M;SUBA;R_3
979385208160;Residencial;3;M;SUBA;R_3
979385208235;Residencial;3;M;FONTIBON;R_3
979385208291;Residencial;3;M;FONTIBON;R_3
979385208312;Residencial;3;M;ENGATIVA;R_3
979385208458;Residencial;3;M;ENGATIVA;R_3
979385208481;Residencial;2;M;SUBA;R_2
979385208577;Residencial;3;M;ENGATIVA;R_3
979385208578;Residencial;2;M;SUBA;R_2
979385208651;Residencial;4;M;FONTIBON;R_4
979385208658;Residencial;3;M;FONTIBON;R_3
979385208794;Residencial;3;M;FONTIBON;R_3
979385208881;Residencial;3;M;PUENTE ARANDA;R_3
979385209035;Residencial;4;M;FONTIBON;R_4
979385209055;Residencial;3;M;SUBA;R_3
979385209061;Residencial;3;M;FONTIBON;R_3
979385209202;Residencial;3;M;FONTIBON;R_3
979385209267;Residencial;3;M;FONTIBON;R_3
979385209273;Residencial;3;M;SUBA;R_3
979385209327;Residencial;3;M;FONTIBON;R_3
979385209406;Residencial;3;M;FONTIBON;R_3
979385209505;Residencial;3;M;FONTIBON;R_3
979385209530;Residencial;3;M;FONTIBON;R_3
979385209612;Residencial;3;M;FONTIBON;R_3
979385209644;Residencial;2;M;SUBA;R_2
979385209657;Residencial;3;M;ENGATIVA;R_3
979385209674;Residencial;2;M;SUBA;R_2
979385209844;Residencial;3;M;ENGATIVA;R_3
979385209870;Residencial;3;M;FONTIBON;R_3
979385209879;Residencial;4;M;FONTIBON;R_4
979385209887;Residencial;3;M;FONTIBON;R_3
979385209932;Residencial;3;M;ENGATIVA;R_3
979385209955;Residencial;3;M;FONTIBON;R_3
979385210039;Residencial;3;M;SUBA;R_3
979385210073;Residencial;3;M;SUBA;R_3
979385210091;Residencial;3;M;SUBA;R_3
979385210116;Residencial;3;M;PUENTE ARANDA;R_3
979385210281;Residencial;3;M;FONTIBON;R_3
979385210324;Residencial;3;M;PUENTE ARANDA;R_3
979385210536;Residencial;3;M;ENGATIVA;R_3
979385210619;Residencial;3;M;SUBA;R_3
979385210641;Residencial;3;M;SUBA;R_3
979385210712;Residencial;3;M;ENGATIVA;R_3
979385210727;Residencial;3;M;ENGATIVA;R_3
979385210747;Residencial;3;M;ENGATIVA;R_3
979385210758;Residencial;3;M;SUBA;R_3
979385210777;Residencial;3;M;ENGATIVA;R_3
979385210812;Residencial;3;M;PUENTE ARANDA;R_3
979385210989;Residencial;3;M;ENGATIVA;R_3
979385211168;Residencial;3;M;ENGATIVA;R_3
979385211181;Residencial;2;M;SUBA;R_2
979385211445;Residencial;3;M;ENGATIVA;R_3
979385211473;Residencial;3;M;SUBA;R_3
979385211485;Residencial;3;M;ENGATIVA;R_3
979385211506;Residencial;2;M;BOSA;R_2
979385211576;Residencial;1;M;USME;R_1
979385211790;Residencial;3;M;SUBA;R_3
979385211865;Residencial;3;M;SUBA;R_3
979385212088;Residencial;2;M;BOSA;R_2
979385212176;Residencial;3;M;ENGATIVA;R_3
979385212207;Residencial;3;M;PUENTE ARANDA;R_3
979385212291;Residencial;3;M;PUENTE ARANDA;R_3
979385212293;Comercial;0;M;ENGATIVA;C_0
979385212416;Residencial;3;M;SUBA;R_3
979385212431;Residencial;3;M;FONTIBON;R_3
979385212438;Comercial;0;M;ENGATIVA;C_0
979385212470;Residencial;3;M;ENGATIVA;R_3
979385212584;Residencial;3;M;ENGATIVA;R_3
979385212659;Residencial;3;M;PUENTE ARANDA;R_3
979385212704;Comercial;0;M;ENGATIVA;C_0
979385212758;Residencial;3;M;FONTIBON;R_3
979385213015;Residencial;3;M;SUBA;R_3
979385213099;Residencial;3;M;ENGATIVA;R_3
979385213504;Residencial;2;M;BOSA;R_2
979385213531;Residencial;3;M;ENGATIVA;R_3
979385213609;Comercial;0;M;ENGATIVA;C_0
979385213736;Residencial;3;M;PUENTE ARANDA;R_3
979385213765;Residencial;4;M;FONTIBON;R_4
979385213819;Residencial;3;M;PUENTE ARANDA;R_3
979385213835;Residencial;3;M;ENGATIVA;R_3
