Tarifa;Sector;Estrato;Periodo;Vigencia;TARIFA_Subsidiada;TARIFA_Plena
C_0;Comercial;0;201801;17/01/2018;;536,6870
C_0;Comercial;0;201802;21/02/2018;;571,5258
C_0;Comercial;0;201803;17/03/2018;;598,0511
C_0;Comercial;0;201804;18/04/2018;;592,8182
C_0;Comercial;0;201805;18/05/2018;;575,2067
C_0;Comercial;0;201806;18/06/2018;;592,9474
C_0;Comercial;0;201807;18/07/2018;;603,9970
C_0;Comercial;0;201808;18/08/2018;;609,8017
C_0;Comercial;0;201809;18/09/2018;;615,6450
C_0;Comercial;0;201810;19/10/2018;;612,3943
C_0;Comercial;0;201811;17/11/2018;;621,2344
C_0;Comercial;0;201812;18/12/2018;;624,5653
C_0;Comercial;0;201901;17/01/2019;;611,4032
C_0;Comercial;0;201902;16/02/2019;;622,8103
C_0;Comercial;0;201903;16/03/2019;;638,1090
C_0;Comercial;0;201904;16/04/2019;;633,8470
C_0;Comercial;0;201905;16/05/2019;;607,6121
C_0;Comercial;0;201906;18/06/2019;;602,6568
C_0;Comercial;0;201907;16/07/2019;;598,3254
C_0;Comercial;0;201908;16/08/2019;;618,6064
C_0;Comercial;0;201909;17/09/2019;;623,8498
C_0;Comercial;0;201910;17/10/2019;;629,0344
R_1;Residencial;1;201801;17/01/2018;200,2265;447,2392
R_1;Residencial;1;201802;21/02/2018;201,4811;476,2715
R_1;Residencial;1;201803;17/03/2018;202,9087;498,3759
R_1;Residencial;1;201804;18/04/2018;203,3990;494,0152
R_1;Residencial;1;201805;18/05/2018;204,3363;479,3389
R_1;Residencial;1;201806;18/06/2018;204,8554;494,1228
R_1;Residencial;1;201807;18/07/2018;205,1726;503,3308
R_1;Residencial;1;201808;18/08/2018;204,9130;508,1681
R_1;Residencial;1;201809;18/09/2018;205,2150;513,0375
R_1;Residencial;1;201810;19/10/2018;205,5468;510,3286
R_1;Residencial;1;201811;17/11/2018;207,0781;517,6953
R_1;Residencial;1;201812;18/12/2018;208,1884;520,4711
R_1;Residencial;1;201901;17/01/2019;208,8151;509,5027
R_1;Residencial;1;201902;16/02/2019;210,0685;519,0086
R_1;Residencial;1;201903;16/03/2019;212,7030;531,7575
R_1;Residencial;1;201904;16/04/2019;213,6128;528,2058
R_1;Residencial;1;201905;16/05/2019;214,6638;506,3434
R_1;Residencial;1;201906;18/06/2019;215,3365;502,2140
R_1;Residencial;1;201907;16/07/2019;215,9041;498,6045
R_1;Residencial;1;201908;16/08/2019;216,3876;515,5053
R_1;Residencial;1;201909;17/09/2019;216,5768;519,8748
R_1;Residencial;1;201910;17/10/2019;217,0603;524,1953
R_2;Residencial;2;201801;17/01/2018;250,2833;447,2392
R_2;Residencial;2;201802;21/02/2018;251,8515;476,2715
R_2;Residencial;2;201803;17/03/2018;253,6360;498,3759
R_2;Residencial;2;201804;18/04/2018;254,2489;494,0152
R_2;Residencial;2;201805;18/05/2018;255,4206;479,3389
R_2;Residencial;2;201806;18/06/2018;256,0695;494,1228
R_2;Residencial;2;201807;18/07/2018;256,4661;503,3308
R_2;Residencial;2;201808;18/08/2018;256,1416;508,1681
R_2;Residencial;2;201809;18/09/2018;256,5188;513,0375
R_2;Residencial;2;201810;19/10/2018;256,9335;510,3286
R_2;Residencial;2;201811;17/11/2018;258,8477;517,6953
R_2;Residencial;2;201812;18/12/2018;260,2356;520,4711
R_2;Residencial;2;201901;17/01/2019;261,0190;509,5027
R_2;Residencial;2;201902;16/02/2019;262,5858;519,0086
R_2;Residencial;2;201903;16/03/2019;265,8788;531,7575
R_2;Residencial;2;201904;16/04/2019;267,0161;528,2058
R_2;Residencial;2;201905;16/05/2019;268,3299;506,3434
R_2;Residencial;2;201906;18/06/2019;269,1707;502,2140
R_2;Residencial;2;201907;16/07/2019;269,8802;498,6045
R_2;Residencial;2;201908;16/08/2019;270,4845;515,5053
R_2;Residencial;2;201909;17/09/2019;270,7210;519,8748
R_2;Residencial;2;201910;17/10/2019;271,3253;524,1953
R_3;Residencial;3;201801;17/01/2018;380,1533;447,2392
R_3;Residencial;3;201802;21/02/2018;404,8308;476,2715
R_3;Residencial;3;201803;17/03/2018;423,6195;498,3759
R_3;Residencial;3;201804;18/04/2018;419,9129;494,0152
R_3;Residencial;3;201805;18/05/2018;407,4381;479,3389
R_3;Residencial;3;201806;18/06/2018;420,0044;494,1228
R_3;Residencial;3;201807;18/07/2018;427,8312;503,3308
R_3;Residencial;3;201808;18/08/2018;431,9429;508,1681
R_3;Residencial;3;201809;18/09/2018;436,0819;513,0375
R_3;Residencial;3;201810;19/10/2018;433,7793;510,3286
R_3;Residencial;3;201811;17/11/2018;440,0410;517,6953
R_3;Residencial;3;201812;18/12/2018;442,4004;520,4711
R_3;Residencial;3;201901;17/01/2019;433,0773;509,5027
R_3;Residencial;3;201902;16/02/2019;441,1573;519,0086
R_3;Residencial;3;201903;16/03/2019;451,9939;531,7575
R_3;Residencial;3;201904;16/04/2019;448,9749;528,2058
R_3;Residencial;3;201905;16/05/2019;430,3919;506,3434
R_3;Residencial;3;201906;18/06/2019;426,8819;502,2140
R_3;Residencial;3;201907;16/07/2019;423,8138;498,6045
R_3;Residencial;3;201908;16/08/2019;438,1795;515,5053
R_3;Residencial;3;201909;17/09/2019;441,8936;519,8748
R_3;Residencial;3;201910;17/10/2019;445,5660;524,1953
R_4;Residencial;4;201801;17/01/2018;;447,2392
R_4;Residencial;4;201802;21/02/2018;;476,2715
R_4;Residencial;4;201803;17/03/2018;;498,3759
R_4;Residencial;4;201804;18/04/2018;;494,0152
R_4;Residencial;4;201805;18/05/2018;;479,3389
R_4;Residencial;4;201806;18/06/2018;;494,1228
R_4;Residencial;4;201807;18/07/2018;;503,3308
R_4;Residencial;4;201808;18/08/2018;;508,1681
R_4;Residencial;4;201809;18/09/2018;;513,0375
R_4;Residencial;4;201810;19/10/2018;;510,3286
R_4;Residencial;4;201811;17/11/2018;;517,6953
R_4;Residencial;4;201812;18/12/2018;;520,4711
R_4;Residencial;4;201901;17/01/2019;;509,5027
R_4;Residencial;4;201902;16/02/2019;;519,0086
R_4;Residencial;4;201903;16/03/2019;;531,7575
R_4;Residencial;4;201904;16/04/2019;;528,2058
R_4;Residencial;4;201905;16/05/2019;;506,3434
R_4;Residencial;4;201906;18/06/2019;;502,2140
R_4;Residencial;4;201907;16/07/2019;;498,6045
R_4;Residencial;4;201908;16/08/2019;;515,5053
R_4;Residencial;4;201909;17/09/2019;;519,8748
R_4;Residencial;4;201910;17/10/2019;;524,1953
R_5;Residencial;5;201801;17/01/2018;;536,6870
R_5;Residencial;5;201802;21/02/2018;;571,5258
R_5;Residencial;5;201803;17/03/2018;;598,0511
R_5;Residencial;5;201804;18/04/2018;;592,8182
R_5;Residencial;5;201805;18/05/2018;;575,2067
R_5;Residencial;5;201806;18/06/2018;;592,9474
R_5;Residencial;5;201807;18/07/2018;;603,9970
R_5;Residencial;5;201808;18/08/2018;;609,8017
R_5;Residencial;5;201809;18/09/2018;;615,6450
R_5;Residencial;5;201810;19/10/2018;;612,3943
R_5;Residencial;5;201811;17/11/2018;;621,2344
R_5;Residencial;5;201812;18/12/2018;;624,5653
R_5;Residencial;5;201901;17/01/2019;;611,4032
R_5;Residencial;5;201902;16/02/2019;;622,8103
R_5;Residencial;5;201903;16/03/2019;;638,1090
R_5;Residencial;5;201904;16/04/2019;;633,8470
R_5;Residencial;5;201905;16/05/2019;;607,6121
R_5;Residencial;5;201906;18/06/2019;;602,6568
R_5;Residencial;5;201907;16/07/2019;;598,3254
R_5;Residencial;5;201908;16/08/2019;;618,6064
R_5;Residencial;5;201909;17/09/2019;;623,8498
R_5;Residencial;5;201910;17/10/2019;;629,0344
R_6;Residencial;6;201801;17/01/2018;;536,6870
R_6;Residencial;6;201802;21/02/2018;;571,5258
R_6;Residencial;6;201803;17/03/2018;;598,0511
R_6;Residencial;6;201804;18/04/2018;;592,8182
R_6;Residencial;6;201805;18/05/2018;;575,2067
R_6;Residencial;6;201806;18/06/2018;;592,9474
R_6;Residencial;6;201807;18/07/2018;;603,9970
R_6;Residencial;6;201808;18/08/2018;;609,8017
R_6;Residencial;6;201809;18/09/2018;;615,6450
R_6;Residencial;6;201810;19/10/2018;;612,3943
R_6;Residencial;6;201811;17/11/2018;;621,2344
R_6;Residencial;6;201812;18/12/2018;;624,5653
