CLIENTE,Fecha,Hora,value,Energia
979385229541,20190201,03:00,22,Activa
979091214682,20171015,01:00,365,Activa
979385214585,20171121,09:00,309,Activa
979385228669,20180820,04:00,135,Activa
979385208481,20190902,07:00,42,Activa
979091209829,20190924,20:00,68,Activa
979385212659,20171008,15:00,0,Activa
979385211168,20180922,12:00,138,Activa
979385227321,20180622,03:00,168,Activa
979385211865,20180910,22:00,484,Activa
979385220489,20181111,11:00,135,Activa
979385225003,20170428,20:00,578,Activa
979091208709,20170429,01:00,145,Activa
979385210758,20171129,13:00,33,Activa
979385220753,20180101,08:00,0,Activa
979091217746,20190809,05:00,166,Activa
979385211506,20171121,07:00,57,Activa
979385222897,20181204,14:00,600,Activa
979385215547,20170519,14:00,357,Activa
979385218360,20181129,08:00,83,Activa
979385214585,20190130,17:00,203,Activa
979385208160,20180222,08:00,237,Activa
979385212431,20180807,15:00,280,Activa
979385210281,20180514,05:00,38,Activa
979385217653,20170806,12:00,219,Activa
979091217522,20180203,03:00,264,Activa
979091218597,20171009,10:00,4998,Activa
979091209381,20190827,08:00,213,Activa
979091210012,20170605,23:00,711,Activa
979385235451,20180304,22:00,63,Activa
979091214275,20170228,14:00,237,Activa
979385226827,20190221,04:00,39,Activa
979385228669,20171107,01:00,91,Activa
979385228117,20190510,05:00,221,Activa
979385211168,20190312,20:00,271,Activa
979385207844,20190201,15:00,177,Activa
979385218322,20190406,20:00,423,Activa
979091209267,20190125,00:00,204,Activa
979385225866,20190917,15:00,0,Activa
979385214214,20180709,16:00,8,Activa
979091217924,20190921,03:00,48,Activa
979091208919,20170918,12:00,607,Activa
979385213819,20171024,23:00,184,Activa
979091209829,20190131,22:00,356,Activa
979385228669,20180411,01:00,81,Activa
979091217574,20180701,07:00,142,Activa
979385228698,20171023,01:00,123,Activa
979385235921,20180729,10:00,0,Activa
979385236104,20190414,06:00,135,Activa
979091210823,20170321,22:00,52,Activa
979385207621,20190222,10:00,78,Activa
979385220392,20170815,03:00,24,Activa
979091216737,20190209,21:00,382,Activa
979385233534,20190316,02:00,103,Activa
979385217313,20170729,13:00,40,Activa
979385233871,20190824,04:00,38,Activa
979385208160,20180712,03:00,111,Activa
979385225055,20180824,21:00,79,Activa
979385227985,20190908,16:00,1642,Activa
979091210335,20171103,09:00,252,Activa
979091210045,20170301,11:00,509,Activa
979385209955,20170925,18:00,424,Activa
979385210758,20180920,05:00,30,Activa
979385232468,20171123,05:00,58,Activa
979385234248,20190127,08:00,532,Activa
979385214551,20170701,15:00,179,Activa
979385232651,20190210,02:00,66,Activa
979091220066,20180529,17:00,603,Activa
979091217568,20190903,18:00,241,Activa
979091212624,20171119,19:00,517,Activa
979385214321,20180915,02:00,74,Activa
979385223337,20180905,04:00,51,Activa
979091219459,20190213,22:00,323,Activa
979385234237,20190904,00:00,159,Activa
979385235388,20170916,10:00,47,Activa
979385234237,20180831,21:00,92,Activa
979091217885,20180830,07:00,195,Activa
979385234393,20180713,08:00,0,Activa
979385235388,20190705,07:00,702,Activa
979385212088,20180819,21:00,547,Activa
979091210354,20181221,16:00,138,Activa
